Empire,Start year,End year,Duration (years)
Pandyan dynasty,500 BC,1759[4],2259
Parthian Empire,247 BC,224,471
Polish–Lithuanian Commonwealth,1569,1795,226
Pontic Empire,120 BC,47 BC,73
Portuguese Empire,1415,1999,584
Kingdom of Prussia,1701,1871,170
Ptolemaic Empire,305 BC,30 BC,275
Qajar dynasty[citation needed],1794,1925,131
Qara Qoyunlu,1378,1468,90
Qara Khitai,1124,1218,94
Qin dynasty,221 BC,206 BC,15
Qing dynasty,1644,1912,268
Ramnad Sethupathis,1590,1979,389
Rashidun Caliphate,632,661,29
Rashtrakuta dynasty,753,982,229
Roman republic/Empire,509 BC,1453,1962
Eastern Roman Empire (Byzantine Empire),395,1453,1123
Western Roman Empire,395,476,81
Rouran Khaganate,330,555,225
Rozwi Empire,1660,1866,206
Rustamid dynasty,777,909,132
Russian Empire (Romanov),1721,1917,196
Tsardom of Russia,1480,1721,241
Saadi dynasty,1554,1659,105
Safavid dynasty,1501,1736,235
Saffarid dynasty,867,1002,135
Sassanid dynasty,224,651,427
Satavahana dynasty,230 BC,220,450
Samanid Empire,819,999,180
Saudeleur dynasty,1100,1628,528
Duchy of Savoy,1416,1713,297
Seleucid Empire,312 BC,63 BC,249
Seljuk Empire,1037,1194,157
Serbian Empire,1346,1371,25
Shu Han,221,263,42
Shang dynasty,1600 BC,1046 BC,554
Siam Empire,1782,1932,150
Sultanate of Siak Sri Indrapura,1722,1945,223
Sikh Empire,1733,1849,116
Singhasari,1222,1292,70
Sokoto Caliphate,1804,1903,99
Song dynasty,960,1279,319
Songhai Empire,1340,1591,251
Spanish Empire,1479,1975,496
Srivijaya Empire,683,1293,610
Sui dynasty,581,618,37
Wadiyar dynasty (Kingdom of Mysore),1399,1950,551
Shunga Empire,185 BC,73 BC,112
Sultanate of Sulu,1405,1915,510
Sur Empire,1538,1556,18
Swedish Empire,1611,1721,110
Tahirid dynasty,821,873,52
Tang dynasty,618,907,289
Thanjavur Nayak dynasty,1532,1673,141
Tây Sơn dynasty,1778,1802,24
Sultanate of Ternate,1258,1914,657
Empire of Thessalonica,1224,1246,22
Nazi Germany,1933,1945,12
Tibetan Empire,755,842,87
Tondo dynasty,900,1587,687
Sultanate of Tidore,1274,1967,693
Timurid Empire,1370,1526,156
Tlemcen,1235,1556,321
Empire of Trebizond,1204,1461,257
Toltec Empire,496,1122,626
Toungoo dynasty,1510,1752,242
Toucouleur Empire,1848,1893,45
Tu'i Tonga Empire,950,1865,915
Turgesh Khaganate,699,766,67
Umayyad Caliphate,661,750,89
Uyunid Emirate,1076,1253,177
Uyghur Khaganate,742,848,106
Uzbek Khanate,1428,1471,43
Vandal Kingdom,435,534,99
Varman dynasty,350,655,305
